분류,사업장명,전체주소,좌표
골프장,사우스링스영암 CC,전라남도 영암군 삼호읍 난전리 2156,"[34.7391786, 126.4248947]"
골프장,사우스스프링스C.C,경기도 이천시 모가면 소고리 640-6번지,"[37.1753585, 127.4529952]"
골프장,삼남개발(주) 기흥컨트리클럽,경기도 화성시 신동 50-1,"[37.1994932, 126.8311887]"
골프장,삼성물산(주)안양컨트리클럽,경기도 군포시 부곡동 1번지,"[37.3393721, 126.9420511]"
골프장,샴발라 컨트리클럽,경기도 포천시 군내면 직두리 산 1-1번지,"[37.8714708, 127.2601704]"
골프장,"서라벌골프클럽(정규, 일반)",경상북도 경주시 외동읍 석계리 산 1번지,"[35.6929816, 129.2743833]"
골프장,서원밸리 대중골프장,경기도 파주시 광탄면 발랑리 123-1번지,"[37.8218058, 126.8977424]"
골프장,서원밸리골프클럽,경기도 파주시 광탄면 발랑리 123-1번지 서원밸리G.C클럽,"[37.82103, 126.888999]"
골프장,세종레이캐슬 골프&리조트,세종특별자치시 전의면 달전리 산 72,"[36.6167846, 127.1897127]"
골프장,세종에머슨 컨트리클럽,세종특별자치시 전의면 유천리 216-1번지,"[36.69842610000001, 127.1819843]"
골프장,소피아그린,경기도 여주시 점동면 현수리 산 13번지,"[37.178842, 127.7043141]"
골프장,솔모로골프장,경기도 여주시 가남읍 양귀리 산 69번지,"[37.1924651, 127.5811517]"
골프장,솔트베이(Salt Bay) 골프클럽,경기도 시흥시 장곡동 724-2,"[37.3909758, 126.7790592]"
골프장,수원컨트리클럽,경기도 용인시 기흥구 구갈동 258-1 수원컨트리클럽,"[37.2783601, 127.1219444]"
골프장,스마트KU 골프 파빌리온,경기도 파주시 법원읍 삼방리 521번지,"[37.8280086, 126.8524074]"
골프장,스카이밸리골프장,경기도 여주시 북내면 운촌리 산 40,"[37.3431718, 127.7344692]"
골프장,신라컨트리클럽,경기도 여주시 북내면 덕산리 산 3-1번지,"[37.364478, 127.7043245]"
골프장,신안 퍼블릭 CC,경기도 안성시 고삼면 가유리 787-15번지,"[37.0985001, 127.2492162]"
골프장,신원,경기도 용인시 처인구 이동읍 묵리 산 49-1번지,"[37.1822463, 127.2510618]"
골프장,신창기업(주)발리오스컨트리클럽(대중제),경기도 화성시 팔탄면 해창리 256-5,"[37.1139229, 126.8622777]"
골프장,써닝포인트 컨트리클럽,경기도 용인시 처인구 백암면 고안리 산 21-1번지,"[37.1464957, 127.4254176]"
골프장,썬밸리 컨트리클럽,경기도 여주시 강천면 부평리 418-1,"[37.2695265, 127.7392371]"
골프장,썬힐G.C,경기도 가평군 조종면 운악리 산 144-1번지,"[37.8178242, 127.3532361]"
골프장,아난티클럽서울(주),경기도 가평군 설악면 방일리 산 90-2번지,"[37.6228466, 127.4858005]"
골프장,아덴힐 컨트리클럽,경기도 안성시 양성면 미산리 592 아덴힐 컨트리클럽,"[37.122222, 127.270278]"
골프장,아리지 골프장,경기도 여주시 가남읍 안금리 산 103번지,"[37.21399359999999, 127.5953441]"
골프장,아세코밸리 골프클럽,경기도 시흥시 거모동 121-1번지,"[37.3682355, 126.7695247]"
골프장,아일랜드(주),경기도 안산시 단원구 대부남동 1369번지 아일랜드CC,"[37.2300964, 126.5638526]"
골프장,아일랜드컨트리클럽,경기도 안산시 단원구 대부남동 1111번지,"[37.2332059, 126.5645532]"
골프장,안성베네스트G.C,경기도 안성시 금광면 삼흥리 산 1번지,"[37.0277698, 127.3782749]"
골프장,안성컨트리클럽,경기도 안성시 죽산면 장계리 736번지,"[37.0447203, 127.4057343]"
골프장,양평TPC골프장,경기도 양평군 지평면 대평리 산 112,"[37.4141243, 127.6530695]"
골프장,에덴블루 컨트리클럽,경기도 안성시 죽산면 녹배길 174,"[37.06604799999999, 127.391781]"
골프장,에이치원 클럽(H1 CLUB),경기도 이천시 호법면 매곡리 704-2,"[37.1873948, 127.3999498]"
골프장,여주썬밸리 컨트리클럽,경기도 여주시 강천면 부평리 418-1번지,"[37.2695265, 127.7392371]"
골프장,여주컨트리클럽,경기도 여주시 월송동 35-10번지,"[37.2980237, 127.6371628]"
골프장,오크밸리골프장,강원도 원주시 지정면 월송리 산 171번지,"[37.3960736, 127.8703653]"
골프장,오투리조트 C.C,강원도 태백시 황지동 산 176-28번지,"[37.1702475, 128.9452688]"
골프장,올림픽 골프장,경기도 고양시 덕양구 벽제동 465번지,"[37.7212519, 126.8961432]"
골프장,용원컨트리클럽,경상남도 창원시 진해구 용원동 산 39번지,"[35.1104696, 128.8264013]"
골프장,용인씨씨,경기도 용인시 처인구 백암면 석천리 747-1번지,"[37.1106922, 127.3443132]"
골프장,우정힐스컨트리클럽,충청남도 천안시 동남구 목천읍 운전리 29번지,"[36.7675555, 127.2400543]"
골프장,웰링턴컨트리클럽,경기도 이천시 모가면 두미리 산 39-9번지,"[37.168683, 127.4158001]"
골프장,윈체스트 골프클럽 대중,경기도 안성시 서운면 오촌리 173-4번지,"[36.9597617, 127.2874204]"
골프장,은화삼,"경기도 용인시 처인구 백옥대로 860-37 (호동, 은화삼C.C)","[37.2152538, 127.2198162]"
골프장,이스트밸리컨트리클럽,경기도 광주시 곤지암읍 건업리 4-43번지,"[37.4045531, 127.3853976]"
골프장,이천 마이다스 골프 앤 리조트,경기도 이천시 설성면,"[37.1324404, 127.5220069]"
골프장,이천마이다스골프앤리조트,경기도 이천시 설성면 송계리 산 25-1번지,"[37.1760248, 127.5256249]"
골프장,이천실크밸리골프클럽,경기도 이천시 율면 월포리 산 138-19,"[37.0801112, 127.5743722]"
골프장,이포골프장,경기도 여주시 금사면 장흥리 산 1,"[37.3867434, 127.4930105]"
골프장,익산컨트리클럽,전라북도 익산시 덕기동 산 226-1번지,"[35.9620138, 127.027449]"
골프장,인서울27골프클럽,서울특별시 강서구 오곡동 1-6번지 인서울27골프클럽,"[37.5468695, 126.7975845]"
골프장,일동레이크 골프클럽,경기도 포천시 일동면 유동리 21-2번지,"[37.9312098, 127.3166075]"
골프장,일산스프링힐스 컨트리클럽,경기도 고양시 일산동구 산황동 산 54번지,"[37.6557147, 126.8149414]"
골프장,일산스프링힐스 컨트리클럽,경기도 고양시 일산동구 산황동 산 54번지 일원,"[37.6557147, 126.8149414]"
골프장,자유로컨트리클럽,경기도 연천군 백학면 노아로297번길 179-54,"[37.9922575, 126.9508228]"
골프장,자유컨트리클럽,경기도 여주시 가남읍 삼군리 산 44번지,"[37.2093382, 127.5682307]"
골프장,제이드팰리스솔프클럽,강원도 춘천시 남산면 서천리 산 35번지,"[37.8353124, 127.5448871]"
골프장,제이레저(주) 티클라우드컨트리클럽,경기도 동두천시 하봉암동 산 33-1번지,"[37.9677552, 127.0892219]"
골프장,제이스C.C 시사이드,경상북도 경주시 감포읍 나정리 산 47번지,"[35.7738914, 129.4844037]"
골프장,제일C.C,경기도 안산시 상록구 부곡동 587번지,"[37.3282896, 126.8667114]"
골프장,주식회사 세현cc,경기도 용인시 처인구 이동읍 서리 산 70-3 세현cc,"[37.1879808, 127.1845639]"
골프장,주식회사 한라세라지오,경기도 여주시 오금동 422-3,"[37.330741, 127.647896]"
골프장,중부컨트리클럽,경기도 광주시 곤지암읍 곤지암리 26-1,"[37.3361367, 127.3553671]"
골프장,중앙컨트리클럽,충청북도 진천군 백곡면 성대리 산 103-1번지,"[36.9388756, 127.3375212]"
골프장,지산골프장,경기도 용인시 원삼면 맹리 산 29-8번지,"[37.2160842, 127.3365281]"
골프장,지산대중,경기도 용인시 처인구 원삼면 맹리 산 25번지,"[37.1991222, 127.3465084]"
골프장,지산리조트(주),경기도 이천시 마장면 해월리 산 281번지,"[37.2170279, 127.3446662]"
골프장,참밸리 컨트리클럽,경기도 포천시 설운동 산 38-17번지,"[37.866798, 127.136237]"
골프장,천룡컨트리클럽,충청북도 진천군 이월면 신계리 산 77번지,"[36.94662539999999, 127.3896256]"
골프장,청평마이다스골프클럽,경기도 가평군 설악면 이천리 산 2-1번지,"[37.6642632, 127.456004]"
골프장,캐슬파인리조트주식회사,경기도 여주시 강천면 부평리 산 47-1번지,"[37.307355, 127.7419989]"
골프장,코리아대중,경기도 용인시 기흥구 고매동 279-13번지,"[37.2233421, 127.1186737]"
골프장,코리아컨트리클럽,경기도 용인시 처인구 이동읍 서리 784-7번지,"[37.21932779999999, 127.1513872]"
골프장,코오롱가든골프장,경상북도 경주시 마동 111-1번지,"[35.7875924, 129.3217327]"
골프장,큐로CC,경기도 광주시 곤지암읍 오향리 156-1,"[37.38246609999999, 127.3729522]"
골프장,크리스탈밸리C.C,경기도 가평군 상면 항사리 산 36-2,"[37.79149690000001, 127.3904599]"
골프장,킹스데일 골프클럽,충청북도 충주시 주덕읍 화곡리 1097번지,"[36.9975045, 127.8076352]"
골프장,타이거CC 골프장,경기도 파주시 법원읍 웅담리 산 121-6번지,"[37.9262279, 126.8983988]"
골프장,태광컨트리클럽,경기도 용인시 기흥구 영덕동 258-2번지,"[37.2849909, 127.0853706]"
골프장,태안비치컨트리클럽,충청남도 태안군 근흥면 정죽리 2259-1번지,"[36.6912253, 126.161392]"
골프장,태흥골프연습장,전라북도 익산시 부송동 1095-1번지,"[35.9621972, 126.9895423]"
골프장,파라다이스골프장,제주특별자치도 서귀포시 안덕면 광평리 산 125번지,"[33.3406198, 126.347594]"
골프장,파인리조트,경기도 용인시 처인구 양지면 남곡리 34-1번지,"[37.2133912, 127.2905629]"
골프장,파인크리크C.C,경기도 안성시 양성면 노곡리 701-3번지,"[37.1036919, 127.234077]"
골프장,파주 J-Public 골프장,경기도 파주시 조리읍 장곡리 47-1번지,"[37.7495224, 126.8442296]"
골프장,파크밸리대중골프장,강원도 원주시 소초면 수암리 산 24번지,"[37.3914561, 128.0154429]"
골프장,페럼클럽,경기도 여주시 점동면 사곡리 117번지,"[37.2044934, 127.6884535]"
골프장,포레스트힐C.C,경기도 포천시 화현면 명덕리 178-1번지,"[37.8718315, 127.2777743]"
골프장,포천아도니스 C.C,경기도 포천시 신북면 고일리 산 59번지,"[37.96822, 127.1709617]"
골프장,포천힐스컨트리클럽,경기도 포천시 군내면 상성북리 34-1번지,"[37.8863728, 127.2306894]"
골프장,푸른솔 골프클럽 포천,경기도 포천시 가산면 우금리 88-5,"[37.8403311, 127.2352227]"
골프장,플라자C.C,경기도 용인시 처인구 남사면 통삼리 1-1번지 한화리조트,"[37.127265, 127.1363625]"
골프장,핀크스 골프클럽,제주특별자치도 서귀포시 안덕면 상천리 산 62-3번지,"[33.3159979, 126.387643]"
골프장,필로스골프클럽,경기도 포천시 일동면 기산리 산 142-1번지,"[37.9374676, 127.3321978]"
골프장,한림안성,경기도 안성시 양성면 산정리 산 5-1번지,"[37.0848193, 127.2010998]"
골프장,한성,경기도 용인시 기흥구 마북동 153-1번지,"[37.3055446, 127.1227395]"
골프장,한양컨트리클럽,경기도 고양시 덕양구 원당동 198-114번지,"[37.6568353, 126.8543197]"
골프장,한양컨트리클럽,경기도 고양시 덕양구 원흥동 528-37번지,"[37.655092, 126.8649597]"
골프장,한원컨트리클럽,경기도 용인시 처인구 남사면 북리 859-1번지,"[37.1573, 127.1305832]"
골프장,한일골프장,경기도 여주군 가남면 양귀리 산 59번지,"[37.1937773, 127.5915355]"
골프장,해비치cc,경기도 남양주시 화도읍 차산리 산 111-0001번지,"[37.6134382, 127.2896218]"
